date,"Closed / Merged"
'2019-08-05',1339
'2019-08-06',1342
'2019-08-07',1344
'2019-08-08',1346
'2019-08-09',1348
'2019-08-10',1350
'2019-08-11',1353
'2019-08-12',1353
'2019-08-13',1360
'2019-08-14',1361
'2019-08-15',1362
'2019-08-16',1364
'2019-08-17',1364
'2019-08-19',1368
'2019-08-20',1369
'2019-08-22',1370
'2019-08-23',1371
'2019-08-26',1372
'2019-08-27',1374
'2019-08-28',1375
'2019-08-29',1376
'2019-08-30',1379
'2019-08-31',1380
'2019-09-01',1380
'2019-09-02',1381
'2019-09-03',1387
'2019-09-04',1392
'2019-09-05',1396
'2019-09-06',1397
'2019-09-07',1398
'2019-09-09',1403
'2019-09-10',1406
'2019-09-12',1411
'2019-09-13',1411
'2019-09-14',1412
'2019-09-15',1414
'2019-09-16',1419
'2019-09-17',1423
'2019-09-18',1436
'2019-09-19',1443
'2019-09-20',1448
'2019-09-21',1452
'2019-09-22',1455
'2019-09-23',1458
'2019-09-24',1461
'2019-09-26',1465
'2019-09-27',1467
'2019-09-28',1468
'2019-09-29',1471
'2019-09-30',1472
'2019-10-01',1473
'2019-10-02',1475
'2019-10-03',1477
'2019-10-04',1484
'2019-10-05',1490
'2019-10-06',1493
'2019-10-07',1503
'2019-10-08',1508
'2019-10-09',1516
'2019-10-10',1531
'2019-10-11',1540
'2019-10-14',1547
'2019-10-15',1549
'2019-10-16',1553
'2019-10-17',1562
'2019-10-18',1567
'2019-10-19',1569
'2019-10-20',1570
'2019-10-21',1577
'2019-10-22',1582
'2019-10-23',1586
'2019-10-24',1588
'2019-10-25',1591
'2019-10-26',1592
'2019-10-27',1599
'2019-10-28',1614
'2019-10-29',1619
'2019-10-30',1630
'2019-10-31',1638
'2019-11-01',1648
'2019-11-02',1648
'2019-11-03',1651
'2019-11-04',1658
'2019-11-05',1663
'2019-11-06',1671
'2019-11-07',1680
'2019-11-08',1693
'2019-11-10',1693
'2019-11-11',1703
'2019-11-12',1709
'2019-11-13',1716
'2019-11-14',1726
'2019-11-15',1732
'2019-11-16',1734
'2019-11-17',1736
'2019-11-18',1743
'2019-11-19',1752
'2019-11-20',1758
'2019-11-21',1761
'2019-11-22',1765
'2019-11-23',1766
'2019-11-24',1770
'2019-11-25',1778
'2019-11-26',1794
'2019-11-27',1798
'2019-11-28',1802
'2019-11-29',1805
'2019-11-30',1805
'2019-12-01',1807
'2019-12-02',1811
'2019-12-03',1817
'2019-12-04',1837
'2019-12-05',1865
'2019-12-06',1884
'2019-12-07',1885
'2019-12-08',1885
'2019-12-09',1889
'2019-12-10',1895
'2019-12-11',1899
'2019-12-12',1909
'2019-12-13',1911
'2019-12-14',1915
'2019-12-16',1916
'2019-12-17',1921
'2019-12-18',1925
'2019-12-19',1931
'2019-12-20',1936
'2019-12-21',1939
'2019-12-22',1939
'2019-12-23',1940
'2020-01-03',1941
'2020-01-07',1944
'2020-01-08',1945
'2020-01-09',1945
'2020-01-10',1949
'2020-01-12',1949
'2020-01-13',1950
'2020-01-14',1951
'2020-01-15',1955
'2020-01-16',1956
'2020-01-17',1959
'2020-01-19',1960
'2020-01-20',1966
'2020-01-21',1967
'2020-01-22',1972
'2020-01-23',1974
'2020-01-24',1978
'2020-01-25',1980
'2020-01-26',1982
'2020-01-27',1991
'2020-01-28',1995
'2020-01-29',2002
'2020-01-30',2009
'2020-01-31',2017
'2020-02-01',2018
'2020-02-02',2019
'2020-02-03',2024
'2020-02-04',2027
'2020-02-05',2037
'2020-02-06',2047
'2020-02-07',2057
'2020-02-09',2060
'2020-02-10',2068
'2020-02-11',2082
'2020-02-12',2124
'2020-02-13',2136
'2020-02-14',2140
'2020-02-15',2141
'2020-02-16',2142
'2020-02-17',2155
'2020-02-18',2161
'2020-02-19',2188
'2020-02-20',2227
'2020-02-21',2236
'2020-02-22',2236
'2020-02-23',2236
'2020-02-24',2242
'2020-02-25',2249
'2020-02-26',2252
'2020-02-27',2259
'2020-02-28',2267
'2020-02-29',2268
'2020-03-01',2276
'2020-03-02',2282
'2020-03-03',2290
'2020-03-04',2300
'2020-03-05',2315
'2020-03-06',2344
'2020-03-08',2345
'2020-03-09',2359
'2020-03-10',2364
'2020-03-11',2373
'2020-03-12',2378
'2020-03-13',2386
'2020-03-14',2387
'2020-03-15',2390
'2020-03-16',2395
'2020-03-17',2409
'2020-03-18',2420
'2020-03-19',2427
'2020-03-20',2437
'2020-03-21',2441
'2020-03-22',2442
'2020-03-23',2448
'2020-03-24',2454
'2020-03-25',2463
'2020-03-26',2470
'2020-03-27',2475
'2020-03-28',2476
'2020-03-29',2477
'2020-03-30',2484
'2020-03-31',2498
'2020-04-01',2513
'2020-04-02',2523
'2020-04-03',2530
'2020-04-04',2530
'2020-04-06',2535
'2020-04-07',2543
'2020-04-08',2557
'2020-04-09',2574
'2020-04-10',2578
'2020-04-11',2581
'2020-04-12',2583
'2020-04-13',2588
'2020-04-14',2595
'2020-04-15',2602
'2020-04-16',2612
'2020-04-17',2620
'2020-04-18',2625
'2020-04-19',2627
'2020-04-20',2634
'2020-04-21',2644
'2020-04-22',2650
'2020-04-23',2658
'2020-04-24',2670
'2020-04-25',2673
'2020-04-26',2674
'2020-04-27',2686
'2020-04-28',2698
'2020-04-29',2705
'2020-04-30',2713
'2020-05-01',2722
'2020-05-02',2725
'2020-05-03',2727
'2020-05-04',2733
'2020-05-05',2738
'2020-05-06',2744
'2020-05-07',2751
'2020-05-08',2759
'2020-05-10',2761
'2020-05-11',2766
'2020-05-12',2772
'2020-05-13',2780
'2020-05-14',2791
'2020-05-15',2795
'2020-05-18',2802
'2020-05-19',2806
'2020-05-20',2809
'2020-05-21',2812
'2020-05-22',2815
'2020-05-23',2818
'2020-05-24',2821
'2020-05-25',2824
'2020-05-26',2826
'2020-05-27',2833
'2020-05-28',2844
'2020-05-29',2848
'2020-05-30',2849
'2020-05-31',2851
'2020-06-01',2852
'2020-06-02',2868
'2020-06-03',2871
'2020-06-04',2880
'2020-06-05',2888
'2020-06-06',2894
'2020-06-08',2900
'2020-06-09',2902
'2020-06-10',2907
'2020-06-11',2916
'2020-06-12',2916
'2020-06-14',2917
'2020-06-15',2932
'2020-06-16',2941
'2020-06-17',2953
'2020-06-18',2956
'2020-06-19',2963
'2020-06-20',2964
'2020-06-21',2965
'2020-06-22',2974
'2020-06-23',2987
'2020-06-24',2993
'2020-06-25',2994
'2020-06-26',2998
'2020-06-27',2999
'2020-06-28',3001
'2020-06-29',3006
'2020-06-30',3018
'2020-07-01',3024
'2020-07-02',3036
'2020-07-03',3041
'2020-07-06',3050
'2020-07-07',3062
'2020-07-08',3068
'2020-07-09',3075
'2020-07-10',3077
'2020-07-11',3084
'2020-07-12',3091
'2020-07-13',3110
'2020-07-14',3131
'2020-07-15',3156
'2020-07-16',3178
'2020-07-17',3185
'2020-07-19',3185
'2020-07-20',3192
'2020-07-21',3196
'2020-07-22',3205
'2020-07-23',3220
'2020-07-24',3229
'2020-07-25',3231
'2020-07-26',3232
'2020-07-27',3234
'2020-07-28',3241
'2020-07-29',3265
'2020-07-30',3316
'2020-07-31',3337
'2020-08-01',3338
'2020-08-02',3340
'2020-08-03',3346
'2020-08-04',3349
'2020-08-05',3360
'2020-08-06',3369
'2020-08-07',3380
'2020-08-08',3380
'2020-08-10',3385
'2020-08-11',3392
'2020-08-12',3394
'2020-08-13',3394
'2020-08-14',3398
'2020-08-17',3406
'2020-08-18',3417
'2020-08-19',3424
'2020-08-20',3429
'2020-08-21',3434
'2020-08-22',3436
'2020-08-23',3437
'2020-08-24',3443
'2020-08-25',3448
'2020-08-26',3454
'2020-08-27',3458
'2020-08-28',3462
'2020-08-29',3464
'2020-08-31',3464
'2020-09-01',3469
'2020-09-02',3474
'2020-09-03',3480
'2020-09-04',3484
'2020-09-05',3485
'2020-09-07',3491
'2020-09-08',3499
'2020-09-09',3499
'2020-09-10',3506
'2020-09-11',3512
'2020-09-12',3514
'2020-09-13',3514
'2020-09-14',3516
'2020-09-15',3521
'2020-09-16',3524
'2020-09-17',3526
'2020-09-18',3529
'2020-09-21',3532
'2020-09-22',3537
'2020-09-23',3543
'2020-09-24',3546
'2020-09-25',3553
'2020-09-26',3555
'2020-09-27',3556
'2020-09-28',3563
'2020-09-29',3573
'2020-09-30',3577
'2020-10-01',3583
'2020-10-02',3587
'2020-10-03',3591
'2020-10-05',3598
'2020-10-06',3605
'2020-10-07',3609
'2020-10-08',3611
'2020-10-09',3617
'2020-10-10',3621
'2020-10-11',3622
'2020-10-12',3628
'2020-10-13',3635
'2020-10-14',3642
'2020-10-15',3644
'2020-10-16',3651
'2020-10-17',3652
'2020-10-18',3652
'2020-10-19',3657
'2020-10-20',3663
'2020-10-21',3674
'2020-10-22',3693
'2020-10-23',3696
'2020-10-25',3696
'2020-10-26',3697
'2020-10-27',3736
'2020-10-28',3747
'2020-10-29',3754
'2020-10-30',3763
'2020-10-31',3763
'2020-11-01',3764
'2020-11-02',3770
'2020-11-03',3776
'2020-11-04',3788
'2020-11-05',3802
'2020-11-06',3814
'2020-11-07',3815
'2020-11-08',3817
'2020-11-09',3822
'2020-11-10',3838
'2020-11-11',3853
'2020-11-12',3862
'2020-11-13',3878
'2020-11-14',3879
'2020-11-15',3879
'2020-11-16',3884
'2020-11-17',3888
'2020-11-18',3896
'2020-11-19',3929
'2020-11-20',3937
'2020-11-21',3937
'2020-11-22',3938
'2020-11-23',3950
'2020-11-24',3960
'2020-11-25',3966
'2020-11-26',3977
'2020-11-27',3983
'2020-11-28',3985
'2020-11-29',3987
'2020-11-30',3995
'2020-12-01',3999
'2020-12-02',4011
'2020-12-03',4047
'2020-12-04',4051
'2020-12-05',4054
'2020-12-07',4056
'2020-12-08',4062
'2020-12-09',4076
'2020-12-10',4089
'2020-12-11',4096
'2020-12-12',4099
'2020-12-13',4102
'2020-12-14',4111
'2020-12-15',4120
'2020-12-16',4132
'2020-12-17',4143
'2020-12-18',4153
'2020-12-20',4153
'2020-12-21',4157
'2020-12-22',4162
'2020-12-23',4164
'2020-12-24',4164
'2020-12-29',4165
'2021-01-02',4166
'2021-01-04',4171
'2021-01-05',4175
'2021-01-06',4175
'2021-01-07',4175
'2021-01-08',4179
'2021-01-09',4179
'2021-01-10',4180
'2021-01-11',4188
'2021-01-12',4189
'2021-01-13',4194
'2021-01-14',4212
'2021-01-15',4217
'2021-01-16',4218
'2021-01-17',4219
'2021-01-18',4220
'2021-01-19',4231
'2021-01-20',4235
'2021-01-21',4240
'2021-01-22',4246
'2021-01-24',4248
'2021-01-25',4251
'2021-01-26',4266
'2021-01-27',4268
'2021-01-28',4271
'2021-01-29',4285
'2021-01-30',4288
'2021-02-01',4300
'2021-02-02',4310
'2021-02-03',4319
'2021-02-04',4338
'2021-02-05',4342
'2021-02-07',4343
'2021-02-08',4347
'2021-02-09',4361
'2021-02-10',4363
'2021-02-11',4370
'2021-02-12',4379
'2021-02-13',4381
'2021-02-14',4382
'2021-02-15',4389
'2021-02-16',4420
'2021-02-17',4440
'2021-02-18',4451
'2021-02-19',4460
'2021-02-20',4462
'2021-02-21',4463
'2021-02-22',4473
'2021-02-23',4482
'2021-02-24',4499
'2021-02-25',4500
'2021-02-26',4504
'2021-02-28',4505
'2021-03-01',4506
'2021-03-02',4508
'2021-03-03',4509
'2021-03-04',4520
'2021-03-05',4523
'2021-03-06',4524
'2021-03-08',4536
'2021-03-09',4543
'2021-03-10',4550
'2021-03-11',4559
'2021-03-12',4573
'2021-03-13',4574
'2021-03-15',4594
'2021-03-16',4612
'2021-03-17',4621
'2021-03-18',4690
'2021-03-19',4746
'2021-03-20',4748
'2021-03-21',4750
'2021-03-22',4810
'2021-03-23',4914
'2021-03-24',4981
'2021-03-25',5019
'2021-03-26',5037
'2021-03-27',5040
'2021-03-28',5041
'2021-03-29',5047
'2021-03-30',5054
'2021-03-31',5063
'2021-04-01',5070
'2021-04-02',5070
'2021-04-03',5070
'2021-04-04',5074
'2021-04-05',5076
'2021-04-06',5089
'2021-04-07',5101
'2021-04-08',5115
'2021-04-09',5130
'2021-04-10',5134
'2021-04-11',5134
'2021-04-12',5151
'2021-04-13',5182
'2021-04-14',5204
'2021-04-15',5221
'2021-04-16',5237
'2021-04-17',5237
'2021-04-19',5246
'2021-04-20',5253
'2021-04-21',5264
'2021-04-22',5276
'2021-04-23',5287
'2021-04-24',5289
'2021-04-25',5295
'2021-04-26',5349
'2021-04-27',5367
'2021-04-28',5393
'2021-04-29',5401
'2021-04-30',5414
'2021-05-01',5414
'2021-05-02',5416
'2021-05-03',5427
'2021-05-04',5438
'2021-05-05',5456
'2021-05-06',5467
'2021-05-07',5481
'2021-05-08',5488
'2021-05-09',5490
'2021-05-10',5499
'2021-05-11',5561
'2021-05-12',5595
'2021-05-13',5611
'2021-05-14',5618
'2021-05-15',5618
'2021-05-16',5620
'2021-05-17',5626
'2021-05-18',5631
'2021-05-19',5650
'2021-05-20',5656
'2021-05-21',5667
'2021-05-22',5667
'2021-05-23',5668
'2021-05-24',5670
'2021-05-25',5692
'2021-05-26',5708
'2021-05-27',5723
'2021-05-28',5736
'2021-05-30',5737
'2021-05-31',5744
'2021-06-01',5757
'2021-06-02',5760
'2021-06-03',5769
'2021-06-04',5780
'2021-06-05',5780
'2021-06-07',5793
'2021-06-08',5801
'2021-06-09',5810
'2021-06-10',5814
'2021-06-11',5823
'2021-06-13',5823
'2021-06-14',5830
'2021-06-15',5838
'2021-06-16',5853
'2021-06-17',5859
'2021-06-18',5868
'2021-06-19',5869
'2021-06-21',5871
'2021-06-22',5886
'2021-06-23',5892
'2021-06-24',5899
'2021-06-25',5904
'2021-06-26',5904
'2021-06-28',5909
'2021-06-29',5919
'2021-06-30',5927
'2021-07-01',5942
'2021-07-02',5956
'2021-07-03',5959
'2021-07-04',5960
'2021-07-05',5968
'2021-07-06',5982
'2021-07-07',5993
'2021-07-08',6003
'2021-07-09',6014
'2021-07-12',6022
'2021-07-13',6126
'2021-07-14',6135
'2021-07-15',6142
'2021-07-16',6159
'2021-07-18',6161
'2021-07-19',6170
'2021-07-20',6186
'2021-07-21',6201
'2021-07-22',6210
'2021-07-23',6218
'2021-07-24',6219
'2021-07-25',6221
'2021-07-26',6240
'2021-07-27',6311
'2021-07-28',6331
'2021-07-29',6340
'2021-07-30',6343
'2021-07-31',6346
'2021-08-02',6357
'2021-08-03',6366
'2021-08-04',6373
'2021-08-05',6379
'2021-08-06',6387
'2021-08-07',6388
'2021-08-08',6391
'2021-08-09',6411
'2021-08-10',6417
'2021-08-11',6421
'2021-08-12',6424
'2021-08-13',6427
'2021-08-16',6427
'2021-08-17',6433
'2021-08-18',6439
'2021-08-19',6448
'2021-08-20',6454
'2021-08-23',6465
'2021-08-24',6468
'2021-08-25',6471
'2021-08-26',6477
'2021-08-27',6485
'2021-08-28',6485
'2021-08-30',6486
'2021-08-31',6492
'2021-09-01',6497
'2021-09-02',6500
'2021-09-03',6503
'2021-09-04',6503
'2021-09-05',6507
'2021-09-06',6513
'2021-09-07',6520
'2021-09-08',6530
'2021-09-09',6542
'2021-09-10',6543
'2021-09-12',6543
'2021-09-13',6547
'2021-09-14',6556
'2021-09-15',6570
'2021-09-16',6578
'2021-09-17',6579
'2021-09-19',6581
'2021-09-20',6591
'2021-09-21',6602
'2021-09-22',6609
'2021-09-23',6614
'2021-09-24',6620
'2021-09-25',6624
'2021-09-27',6635
'2021-09-28',6653
'2021-09-29',6665
'2021-09-30',6676
'2021-10-01',6686
'2021-10-02',6689
'2021-10-03',6689
'2021-10-04',6696
'2021-10-05',6706
'2021-10-06',6719
'2021-10-07',6728
'2021-10-08',6730
'2021-10-09',6731
'2021-10-10',6731
'2021-10-11',6744
'2021-10-12',6756
'2021-10-13',6764
'2021-10-14',6772
'2021-10-15',6781
'2021-10-16',6785
'2021-10-17',6786
'2021-10-18',6796
'2021-10-19',6804
'2021-10-20',6812
'2021-10-21',6832
'2021-10-22',6839
'2021-10-23',6840
'2021-10-24',6840
'2021-10-25',6848
'2021-10-26',6863
'2021-10-27',6890
'2021-10-28',6936
'2021-10-29',6973
'2021-10-30',6978
'2021-11-01',6984
'2021-11-02',6998
'2021-11-03',7012
'2021-11-04',7029
'2021-11-05',7034
'2021-11-06',7035
'2021-11-07',7036
'2021-11-08',7053
'2021-11-09',7068
'2021-11-10',7090
'2021-11-11',7099
'2021-11-12',7112
'2021-11-13',7112
'2021-11-14',7113
'2021-11-15',7119
'2021-11-16',7127
'2021-11-17',7139
'2021-11-18',7153
'2021-11-19',7159
'2021-11-20',7159
'2021-11-21',7159
'2021-11-22',7173
'2021-11-23',7183
'2021-11-24',7194
'2021-11-25',7206
'2021-11-26',7226
'2021-11-27',7227
'2021-11-28',7229
'2021-11-29',7238
'2021-11-30',7257
'2021-12-01',7264
'2021-12-02',7275
'2021-12-03',7280
'2021-12-05',7281
'2021-12-06',7300
'2021-12-07',7313
'2021-12-08',7323
'2021-12-09',7335
'2021-12-10',7346
'2021-12-12',7347
'2021-12-13',7361
'2021-12-14',7433
'2021-12-15',7447
'2021-12-16',7464
'2021-12-17',7474
'2021-12-18',7476
'2021-12-20',7488
'2021-12-21',7497
'2021-12-22',7505
'2021-12-23',7512
'2021-12-24',7512
'2021-12-27',7512
'2021-12-28',7514
'2021-12-29',7516
'2021-12-30',7519
'2022-01-01',7520
'2022-01-03',7520
'2022-01-04',7524
'2022-01-05',7530
'2022-01-06',7538
'2022-01-07',7543
'2022-01-09',7544
'2022-01-10',7551
'2022-01-11',7555
'2022-01-12',7576
'2022-01-13',7582
'2022-01-14',7588
'2022-01-15',7590
'2022-01-16',7591
'2022-01-17',7598
'2022-01-18',7612
'2022-01-19',7623
'2022-01-20',7630
'2022-01-21',7637
'2022-01-24',7649
'2022-01-25',7656
'2022-01-26',7670
'2022-01-27',7677
'2022-01-28',7684
'2022-01-29',7685
'2022-01-30',7685
'2022-01-31',7695
'2022-02-01',7704
'2022-02-02',7723
'2022-02-03',7740
'2022-02-04',7753
'2022-02-05',7754
'2022-02-06',7755
'2022-02-07',7766
'2022-02-08',7789
'2022-02-09',7811
'2022-02-10',7824
'2022-02-11',7836
'2022-02-12',7838
'2022-02-13',7841
'2022-02-14',7848
'2022-02-15',7865
'2022-02-16',7871
'2022-02-17',7883
'2022-02-18',7890
'2022-02-19',7890
'2022-02-20',7894
'2022-02-21',7906
'2022-02-22',7915
'2022-02-23',7928
'2022-02-24',7945
'2022-02-25',7950
'2022-02-27',7952
'2022-02-28',7963
'2022-03-01',7977
'2022-03-02',7993
'2022-03-03',8007
'2022-03-04',8013
'2022-03-05',8014
'2022-03-06',8014
'2022-03-07',8025
'2022-03-08',8034
'2022-03-09',8053
'2022-03-10',8064
'2022-03-11',8068
'2022-03-12',8069
'2022-03-13',8073
'2022-03-14',8091
'2022-03-15',8166
'2022-03-16',8209
'2022-03-17',8262
'2022-03-18',8303
'2022-03-19',8308
'2022-03-20',8310
'2022-03-21',8320
'2022-03-22',8339
'2022-03-23',8418
'2022-03-24',8515
'2022-03-25',8537
'2022-03-26',8537
'2022-03-27',8537
'2022-03-28',8552
'2022-03-29',8564
'2022-03-30',8583
'2022-03-31',8607
'2022-04-01',8624
'2022-04-02',8629
'2022-04-03',8631
'2022-04-04',8646
'2022-04-05',8658
'2022-04-06',8680
'2022-04-07',8685
'2022-04-08',8699
'2022-04-09',8700
'2022-04-10',8704
'2022-04-11',8711
'2022-04-12',8725
'2022-04-13',8746
'2022-04-14',8760
'2022-04-15',8762
'2022-04-16',8764
'2022-04-17',8768
'2022-04-18',8772
'2022-04-19',8786
'2022-04-20',8795
'2022-04-21',8809
'2022-04-22',8825
'2022-04-23',8827
'2022-04-24',8828
'2022-04-25',8844
'2022-04-26',8858
